artist,data-has-content,rank,song,year
Tammy Wynette ,true ,19 ,He Loves Me All The Way,1970
Lynn Anderson ,true ,20 ,Stay There 'til I Get There,1970
Marty Robbins ,true ,21 ,My Woman, My Woman, My Wife,1970
Jack Blanchard &amp; Misty Morgan ,true ,22 ,Tennessee Bird Walk,1970
Loretta Lynn ,true ,23 ,I Know How,1970
Warner Mack ,true ,24 ,Love Hungry,1970
Glen Campbell ,true ,25 ,Oh Happy Day,1970
John Wesley Ryles, I ,true ,26 ,I've Just Been Wasting My Time,1970
Wanda Jackson ,true ,27 ,A Woman Lives For Love,1970
Jean Shepard ,true ,28 ,A Woman's Hand,1970
Ray Price ,true ,29 ,You Wouldn't Know Love,1970
Bobby Lord ,true ,30 ,You And Me Against The World,1970
Slim Whitman ,true ,31 ,Tomorrow Never Comes,1970
Ferlin Husky ,true ,32 ,Heavenly Sunshine,1970
The Glaser Brothers ,true ,33 ,All That Keeps Ya Goin',1970
Johnny &amp; Jonie Mosby ,true ,34 ,I'm Leavin' It Up To You,1970
Dick Curless ,true ,35 ,Big Wheel Cannonball,1970
Henson Cargill ,true ,36 ,The Most Uncomplicated Goodbye I've Ever Heard,1970
Connie Smith ,true ,37 ,I Never Once Stopped Loving You,1970
Buddy Alan ,true ,38 ,Down In New Orleans,1970
Ray Stevens ,true ,39 ,Everything Is Beautiful,1970
Bobby G. Rice ,true ,40 ,Sugar Shack,1970
Don Gibson ,true ,41 ,Don't Take All Your Loving,1970
Hank Williams Jr. ,true ,42 ,I Walked Out On Heaven,1970
Nat Stuckey ,true ,43 ,Old Man Willis,1970
Johnny Duncan ,true ,44 ,You're Gonna Need A Man,1970
Bill Wilbourn &amp; Kathy Morrison ,true ,45 ,A Good Thing,1970
Johnny Bush ,true ,46 ,Warmth Of The Wine,1970
Faron Young ,false ,47 ,If I Ever Fall In Love (With A Honky Tonk Girl),1970
Lewie Wickham ,true ,48 ,Little Bit Late,1970
Lawanda Lindsey ,true ,49 ,Pickin' Wild Mountain Berries,1970
Billy Walker ,true ,50 ,Darling Days,1970
Ray Price ,true ,1 ,I Won't Mention It Again,1971
Conway Twitty ,true ,2 ,How Much More Can She Stand,1971
Jerry Lee Lewis ,true ,3 ,Touching Home,1971
Jeannie C. Riley ,true ,4 ,Oh, Singer,1971
Lynn Anderson ,true ,5 ,You're My Man,1971
Loretta Lynn ,true ,6 ,I Wanna Be Free,1971
Hank Williams Jr. ,true ,7 ,I've Got A Right To Cry,1971
Dave Dudley ,true ,8 ,Comin' Down,1971
Johnny Cash ,true ,9 ,Man In Black,1971
Jerry Reed ,true ,10 ,When You're Hot, You're Hot,1971
Roger Miller ,true ,11 ,Tomorrow Night In Baltimore,1971
Glen Campbell ,true ,12 ,Dream Baby (How Long Must I Dream),1971
Jack Greene ,true ,13 ,There's A Whole Lot About A Woman (A Man Don't Know)/Makin' Up His Mind,1971
Bill Anderson ,true ,14 ,Always Remember,1971
Tommy Overstreet ,true ,15 ,Gwen (Congratulations),1971
Waylon Jennings ,true ,16 ,Mississippi Woman,1971
Faron Young ,true ,17 ,Step Aside,1971
Jim Ed Brown ,true ,18 ,Angel's Sunday,1971
Jim Reeves ,true ,19 ,Gypsy Feet,1971
Buck Owens ,true ,20 ,Ruby (Are You Mad),1971
Charley Pride ,true ,21 ,Let Me Live/Did You Think To Pray,1971
Sonny James ,true ,22 ,Empty Arms,1971
Dolly Parton ,true ,23 ,Comin' For To Carry Me Home,1971
Claude King ,true ,24 ,Chip 'N' Dale's Place,1971
Connie Smith ,true ,25 ,Just One Time,1971
Slim Whitman ,true ,26 ,Something Beautiful (To Remember),1971
George Jones ,true ,27 ,Sometimes You Just Can't Win,1971
Tammy Wynette ,true ,28 ,We Sure Can Love Each Other,1971
Lamar Morris ,true ,29 ,If You Love Me (Really Love Me),1971
Billy Walker ,true ,30 ,It's Time To Love Her,1971
Tom T. Hall ,true ,31 ,Ode To A Half A Pound Of Ground Round,1971
The Statler Brothers ,true ,32 ,New York City,1971
Del Reeves ,true ,33 ,Working Like The Devil (For The Lord),1971
Red Lane ,true ,34 ,The World Needs A Melody,1971
Arlene ,true ,35 ,Married To A Memory,1971
June Carter Cash ,true ,36 ,A Good Man,1971
Hank Thompson ,true ,37 ,Next Time I Fall In Love (I Won't),1971
HARLAN ,true ,38 ,Sunday Morning Christian,1971
Nat Stuckey ,true ,39 ,Only A Woman Like You,1971
Ferlin Husky ,true ,40 ,One More Time,1971
Porter Wagoner ,true ,41 ,Charley's Picture,1971
Patti Page ,true ,42 ,Make Me Your Kind Of Woman,1971
Susan Raye ,true ,43 ,L.A. International Airport,1971
Anne Murray ,true ,44 ,A Stranger In My Place,1971
Bobby Bare ,true ,45 ,Please Don't Tell Me How The Story Ends,1971
'Billy Crash Craddock' ,true ,46 ,Knock Three Times,1971
Roy Clark ,true ,47 ,A Simple Thing As Love,1971
Sammi Smith ,true ,48 ,Then You Walk In,1971
Johnny Duncan ,true ,49 ,There's Something About A Lady,1971
Marty Robbins ,true ,50 ,The Chair,1971
Conway Twitty ,true ,1 ,(Lost Her Love) On Our Last Date,1972
Donna Fargo ,true ,2 ,The Happiest Girl In The Whole Usa,1972
Ray Price ,true ,3 ,The Lonesomest Lonesome/That's What Leaving's About,1972
Merle Haggard ,true ,4 ,Grandma Harp/Turnin' Off A Memory,1972
Jerry Lee Lewis ,true ,5 ,Chantilly Lace/Think About It Darlin',1972
Bill Anderson ,true ,6 ,All The Lonely Women In The World,1972
Glen Campbell ,true ,7 ,Manhattan Kansas,1972
Tom T. Hall ,true ,8 ,Me And Jesus,1972
Buck Owens ,true ,9 ,Made In Japan,1972
'Billy Crash Craddock' ,true ,10 ,Ain't Nothin' Shakin' (But The Leaves On The Trees),1972
Hank Williams Jr. ,true ,11 ,Eleven Roses,1972
Johnny Cash And The Tennessee Three ,true ,12 ,Kate,1972
The Statler Brothers ,true ,13 ,Do You Remember These,1972
Connie Smith ,true ,14 ,Just For What I Am,1972
Porter Wagoner And Dolly Parton ,true ,15 ,Lost Forever In Your Kiss,1972
Bobby Bare ,true ,16 ,What Am I Gonna Do,1972
Hank Williams, Jr. &amp; Lois Johnson ,true ,17 ,Send Me Some Lovin',1972
Johnny Paycheck ,true ,18 ,Someone To Give My Love To,1972
Dolly Parton ,true ,19 ,Touch Your Woman,1972
Dave Dudley ,true ,20 ,If It Feels Good Do It,1972
Sonny James ,true ,21 ,That's Why I Love You Like I Do,1972
Jody Miller ,true ,22 ,Be My Baby,1972
Tony Booth ,true ,23 ,The Key's In The Mailbox,1972
Barbara Mandrell ,true ,24 ,Show Me,1972
Hank Thompson ,true ,25 ,Cab Driver,1972
Cal Smith ,true ,26 ,I've Found Someone Of My Own,1972
Johnny Duncan ,true ,27 ,Fools,1972
Freddie Hart ,true ,28 ,My Hang-Up Is You,1972
Johnny Bush ,true ,29 ,I'll Be There,1972
Glenn Barber ,true ,30 ,I'm The Man On Susie's Mind,1972
Tammy Wynette ,true ,31 ,Reach Out Your Hand,1972
Jerry Reed ,true ,32 ,Smell The Flowers,1972
Mel Tillis ,true ,33 ,Would You Want The World To End,1972
Roger Miller ,true ,34 ,We Found It In Each Other's Arms/Sunny Side Of My Life,1972
Arlene ,true ,35 ,A Special Day,1972
Sammi Smith ,true ,36 ,Girl In New Orleans,1972
Porter Wagoner ,true ,37 ,What Ain't To Be, Just Might Happen,1972
Nat Stuckey ,true ,38 ,Is It Any Wonder That I Love You,1972
Ferlin Husky ,true ,39 ,Just Plain Lonely,1972
Jack Greene ,true ,40 ,If You Ever Need My Love,1972
Tommy Cash ,true ,41 ,You're Everything,1972
The Carter Family ,true ,42 ,Travelin' Minstrel Band,1972
George Jones ,true ,43 ,Loving You Could Never Be Better,1972
David Rogers ,true ,44 ,Need You,1972
Mel Tillis ,true ,45 ,Anything's Better Than Nothing,1972
Tanya Tucker ,true ,46 ,Delta Dawn,1972
Charley Pride with Henry Mancini ,true ,47 ,All His Children,1972
Dorsey Burnette ,true ,48 ,In The Spring (The Roses Always Turn Red),1972
Jerry Wallace ,true ,49 ,To Get To You,1972
Jeanne Pruett And Marty Robbins ,true ,50 ,Love Me,1972
Jeanne Pruett ,true ,1 ,Satin Sheets,1973
Tanya Tucker ,true ,2 ,What's Your Mama's Name,1973
Conway Twitty ,true ,3 ,Baby's Gone,1973
Charlie Rich ,true ,4 ,Behind Closed Doors,1973
Johnny Rodriguez ,true ,5 ,You Always Come Back (To Hurting Me),1973
Tammy Wynette ,true ,6 ,Kids Say The Darndest Things,1973
Merle Haggard ,true ,7 ,The Emptiest Arms In The World,1973
Joe Stampley ,true ,8 ,Bring It On Home (To Your Woman),1973
Jody Miller ,true ,9 ,Good News,1973
Johnny Carver ,true ,10 ,Yellow Ribbon,1973
Mel Street ,true ,11 ,Walk Softly On The Bridges,1973
Marty Robbins ,true ,12 ,Walking Piece Of Heaven,1973
Roy Clark ,true ,13 ,Come Live With Me,1973
Buck Owens ,true ,14 ,Ain't It Amazing, Gracie,1973
Johnny Duncan ,true ,15 ,Sweet Country Woman,1973
George Jones ,true ,16 ,What My Woman Can't Do,1973
Tommy Overstreet ,true ,17 ,Send Me No Roses,1973
Wayne Kemp ,true ,18 ,Honky Tonk Wine,1973
Kris Kristofferson ,true ,19 ,Why Me,1973
Susan Raye ,true ,20 ,Cheating Game,1973
Connie Smith ,true ,21 ,You've Got Me (Right Where You Want Me),1973
Bobby Bare ,true ,22 ,Ride Me Down Easy,1973
Bill Anderson ,true ,23 ,If You Can Live With It (I Can Live Without It),1973
Jerry Wallace ,true ,24 ,Sound Of Goodbye/The Song Nobody Sings,1973
Freddy Weller ,true ,25 ,Too Much Monkey Business,1973
Tom T. Hall ,true ,26 ,Ravishing Ruby,1973
Diana Trask ,true ,27 ,Say When,1973
Barbara Mandrell ,true ,28 ,Give A Little, Take A Little,1973
Charley Pride ,true ,29 ,Don't Fight The Feelings Of Love,1973
Jerry Lee Lewis ,true ,30 ,Drinking Wine Spo-dee O'dee,1973
Brenda Lee ,true ,31 ,Nobody Wins,1973
George Jones &amp; Tammy Wynette ,true ,32 ,Let's Build A World Together,1973
Jim Ed Brown ,true ,33 ,Southern Loving,1973
Johnny Cash ,true ,34 ,Children,1973
Johnny Russell ,true ,35 ,Chained,1973
Don Williams ,true ,36 ,Come Early Morning/Amanda,1973
David Rogers ,true ,37 ,Just Thank Me,1973
Jud Strunk ,true ,38 ,Daisy A Day,1973
Mel Tillis ,true ,39 ,Thank You For Being You,1973
Terri Lane ,true ,40 ,Daisy May (And Daisy May Not),1973
Loretta Lynn ,true ,41 ,Love Is The Foundation,1973
Tommy Cash ,true ,43 ,Workin' On A Feelin',1973
Bobby G. Rice ,true ,44 ,You Give Me You,1973
Vicki Lawrence ,true ,45 ,The Night The Lights Went Out In Georgia,1973
Tony Booth ,true ,46 ,Loving You,1973
Jack Greene ,true ,47 ,The Fool I've Been Today,1973
Ferlin Husky ,true ,48 ,Between Me And Blue,1973
Mac Davis ,true ,49 ,Your Side Of The Bed,1973
Dottie West ,true ,50 ,Just What I've Been Looking For,1973
Sandy Posey ,true ,51 ,Don't,1973
Melba Montgomery ,true ,1 ,No Charge,1974
Ronnie Milsap ,true ,2 ,Pure Love,1974
Ray Stevens ,true ,3 ,The Streak,1974
Roy Clark ,true ,4 ,Honeymoon Feelin',1974
Dolly Parton ,true ,5 ,I Will Always Love You,1974
Johnny Rodriguez ,true ,6 ,Something,1974
Olivia Newton-John ,true ,7 ,If You Love Me (let Me Know),1974
Dottie West ,true ,8 ,Last Time I Saw Him,1974
Buck Owens ,true ,9 ,On The Cover Of The Music City News,1974
Cal Smith ,true ,10 ,Country Bumpkin,1974
Charley Pride ,true ,11 ,We Could,1974
Sonny James ,true ,12 ,Is It Wrong (For Loving You),1974
Diana Trask ,true ,13 ,Lean It All On Me,1974
Mel Tillis ,true ,14 ,Don't Let Go,1974
Jeanne Pruett ,true ,15 ,You Don't Need To Move A Mountain,1974
Hoyt Axton ,true ,16 ,When The Morning Comes,1974
Mickey Gilley ,true ,17 ,Room Full Of Roses,1974
Moe Bandy ,true ,18 ,I Just Started Hatin' Cheatin' Songs Today,1974
Waylon Jennings ,true ,19 ,This Time,1974
Susan Raye ,true ,20 ,Stop The World (And Let Me Off),1974
Faron Young ,true ,21 ,Some Kind Of A Woman,1974
Willie Nelson ,true ,22 ,Bloody Mary Morning,1974
Charlie Rich ,true ,23 ,I Don't See Me In Your Eyes Anymore,1974
Terry Stafford ,true ,24 ,Captured,1974
Don Williams ,true ,25 ,We Should Be Together,1974
Joe Stampley ,true ,26 ,How Lucky Can One Man Be,1974
Tina &amp; Daddy ,true ,27 ,The Telephone Call,1974
Anne Murray ,true ,28 ,He Thinks I Still Care,1974
Ray Price ,true ,29 ,Storms Of Troubled Times,1974
Loretta Lynn ,true ,30 ,They Don't Make 'Em Like My Daddy,1974
Johnny Carver ,true ,31 ,Country Lullabye,1974
Johnny Paycheck ,true ,32 ,My Part Of Forever,1974
Merle Haggard ,true ,33 ,Things Aren't Funny Anymore,1974
Tommy Overstreet ,true ,34 ,(Jeannie Marie) You Were A Lady,1974
David Houston ,true ,35 ,That Same Ol' Look Of Love,1974
Charlie Rich ,true ,36 ,A Very Special Love Song,1974
Lynn Anderson ,true ,37 ,Smile For Me,1974
Karen Wheeler ,true ,38 ,Born To Love And Satisfy,1974
Johnny Russell ,true ,39 ,She's In Love With A Rodeo Man,1974
Conway Twitty ,true ,40 ,I'm Not Through Loving You Yet,1974
Johnny Cash ,true ,41 ,Ragged Old Flag,1974
Connie Smith ,true ,42 ,Dallas,1974
Rex Allen Jr. ,true ,43 ,Goodbye,1974
Jim Ed Brown ,true ,44 ,It's That Time Of Night,1974
Jim Reeves ,true ,46 ,I'd Fight The World,1974
Johnny Duncan ,true ,47 ,The Pillow,1974
Bobby Bare ,true ,48 ,Marie Laveau,1974
Hank Williams Jr. ,true ,49 ,Rainy Night In Georgia,1974
Brian Shaw ,true ,50 ,Friend Named Red,1974
La Costa ,true ,51 ,I Wanta Get To You,1974
John Denver ,true ,1 ,Thank God I'm A Country Boy,1975
Mickey Gilley ,true ,2 ,Window Up Above,1975
Ray Stevens ,true ,3 ,Misty,1975
Linda Ronstadt ,true ,4 ,When Will I Be Loved,1975
Barbi Benton ,true ,5 ,Brass Buckles,1975
Ronnie Milsap ,true ,6 ,Too Late To Worry, Too Blue To Cry,1975
Charley Pride ,true ,7 ,I Ain't All Bad,1975
T.G. Sheppard ,true ,8 ,Tryin' To Beat The Morning Home,1975
Don Williams ,true ,9 ,You're My Best Friend,1975
David Wills ,true ,10 ,From Barrooms To Bedrooms,1975
Tanya Tucker ,true ,11 ,Lizzie And The Rainman,1975
George Jones ,true ,12 ,These Days (I Barely Get By),1975
Jessi Colter ,true ,13 ,I'm Not Lisa,1975
Billy Walker ,true ,14 ,Word Games,1975
Narvel Felts ,true ,15 ,Reconsider Me,1975
Brenda Lee ,true ,16 ,He's My Rock,1975
Eddie Rabbitt ,true ,17 ,Forgive And Forget,1975
B.J. Thomas ,true ,18 ,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,1975
Margo Smith ,true ,19 ,There I Said It,1975
Sonny James ,true ,20 ,Little Band Of Gold,1975
Roy Head ,true ,21 ,The Most Wanted Woman In Town,1975
Freddie Hart ,true ,22 ,I'd Like To Sleep Til I Get Over You,1975
Charlie Rich ,true ,23 ,It's All Over Now,1975
Cal Smith ,true ,24 ,She Talked A Lot About Texas,1975
Stoney Edwards ,true ,25 ,Mississippi You're On My Mind,1975
Hank Williams Jr. ,true ,26 ,Where He's Going, I've Already Been/The Kind Of Woman I Got,1975
Crystal Gayle ,true ,27 ,Beyond You,1975
Don Gibson ,true ,28 ,(There She Goes) I Wish Her Well,1975
Connie Cato ,true ,29 ,Hurt,1975
Fiddlin' Frenchie Burke And The Outlaws ,true ,30 ,Colinda,1975
Dave Dudley ,true ,31 ,Fireball Rolled A Seven,1975
Bill Black's Combo ,true ,32 ,Boilin' Cabbage,1975
Waylon Jennings ,true ,33 ,Dreaming My Dreams With You,1975
Eddy Raven ,true ,34 ,Good News, Bad News,1975
Price Mitchell And Rene Sloane ,true ,35 ,Personality,1975
Tommy Overstreet ,true ,36 ,That's When My Woman Begins,1975
Jim Mundy ,true ,37 ,She's Already Gone,1975
Bobby G. Rice ,true ,38 ,Freda Comes, Freda Goes,1975
Jeris Ross ,true ,39 ,Pictures On Paper,1975
C.W. McCall ,true ,40 ,Classified,1975
Ferlin Husky ,true ,41 ,Burning,1975
Johnny Russell ,true ,42 ,Hello I Love You,1975
Buck Owens ,true ,43 ,41st Street Lonely Hearts' Club/Weekend Daddy,1975
Johnny Cash ,true ,44 ,My Old Kentucky Home (Turpentine And Dandelion Wine),1975
Elvis Presley ,true ,45 ,T-R-O-U-B-L-E,1975
Gary Stewart ,true ,46 ,She's Actin' Single (I'm Drinkin' Doubles),1975
Billy Larkin ,true ,47 ,The Devil In Mrs. Jones,1975
Moe Bandy ,true ,48 ,Don't Anyone Make Love At Home Anymore,1975
Connie Smith ,true ,49 ,Why Don't You Love Me,1975
Conway Twitty ,true ,50 ,Touch The Hand,1975
Johnny Cash ,true ,1 ,One Piece At A Time,1976
Crystal Gayle ,true ,2 ,I'll Get Over You,1976
Conway Twitty ,true ,3 ,After All The Good Is Gone,1976
Tanya Tucker ,true ,4 ,You've Got Me To Hold On To,1976
Glen Campbell ,true ,5 ,Don't Pull Your Love/then You Can Tell Me Goodbye,1976
Ronnie Milsap ,true ,6 ,What Goes On When The Sun Goes Down,1976
Elvis Presley ,true ,7 ,Hurt/for The Heart,1976
'Billy Crash Craddock' ,true ,8 ,Walk Softly,1976
Jimmy Dean ,true ,9 ,I.O.U.,1976
Marty Robbins ,true ,10 ,El Paso City,1976
Waylon Jennings And Jessi Colter ,true ,11 ,Suspicious Minds,1976
Narvel Felts ,true ,12 ,Lonely Teardrops,1976
Bobby Bare ,true ,13 ,The Winner,1976
Freddie Hart ,true ,14 ,She'll Throw Stones At You,1976
Johnny Duncan ,true ,15 ,Stranger,1976
Dave Rowland And Sugar ,true ,16 ,The Door Is Always Open,1976
Joe Stampley ,true ,17 ,All These Things,1976
Willie Nelson ,true ,18 ,I'd Have To Be Crazy,1976
The Statler Brothers ,true ,19 ,Your Picture In The Paper,1976
Loretta Lynn ,true ,20 ,Red, White And Blue,1976
Mac Davis ,true ,21 ,Forever Lovers,1976
Billie Jo Spears ,true ,22 ,What I've Got In Mind,1976
Bill Anderson &amp; Mary Lou Turner ,true ,23 ,That's What Made Me Love You,1976
Charlie Rich ,true ,24 ,America The Beautiful (1976),1976
Donna Fargo ,true ,25 ,Mr. Doodles,1976
Charley Pride ,true ,26 ,My Eyes Can Only See As Far As You,1976
Moe Bandy ,true ,27 ,The Biggest Airport In The World,1976
Olivia Newton-John ,true ,28 ,Come On Over,1976
Ray Stevens ,true ,29 ,You Are So Beautiful,1976
Thom Bresh ,true ,30 ,Home Made Love,1976
Rex Allen Jr. ,true ,31 ,Can You Hear Those Pioneers,1976
Emmylou Harris ,true ,32 ,Together Again,1976
Faron Young ,true ,33 ,I'd Just Be Fool Enough,1976
Red Steagall ,true ,34 ,Lone Star Beer And Bob Wills Music,1976
Asleep At The Wheel ,true ,35 ,Nothin' Takes The Place Of You,1976
Tompall ,true ,36 ,T For Texas,1976
Merle Haggard ,true ,37 ,Here Comes The Freedom Train,1976
Barbara Mandrell ,true ,38 ,That's What Friends Are For,1976
Del Reeves And Billie Jo Spears ,true ,39 ,On The Rebound,1976
Carmol Taylor ,true ,40 ,I Really Had A Ball Last Night,1976
Billy Walker ,true ,41 ,(here I Am) Alone Again,1976
Sonny James ,true ,42 ,When Something Is Wrong With My Baby,1976
Freddy Fender ,true ,43 ,Vaya Con Dios,1976
Johnny Rodriguez ,true ,44 ,I Couldn't Be Me Without You,1976
Mickey Gilley ,true ,45 ,Don't The Girls All Get Prettier At Closing Time,1976
Porter Wagoner And Dolly Parton ,true ,46 ,Is Forever Longer Than Always,1976
Hank Williams Jr. ,true ,47 ,Living Proof,1976
The Bellamy Brothers ,true ,48 ,Let Your Love Flow,1976
Nick Nixon ,true ,49 ,Rocking In Rosalee's Boat,1976
Ronnie Prophet ,true ,50 ,It's Enough,1976
Waylon Jennings ,true ,1 ,Luckenbach, Texas (Back To The Basics Of Love),1977
Merle Haggard ,true ,2 ,If We're Not Back In Love By Monday,1977
Crystal Gayle ,true ,3 ,I'll Do It All Over Again,1977
Eddie Rabbitt ,true ,4 ,I Can't Help Myself,1977
Don Williams ,true ,5 ,Some Broken Hearts Never Mend,1977
Barbara Mandrell ,true ,6 ,Married But Not To Each Other,1977
Tom T. Hall ,true ,7 ,Your Man Loves You,honey,1977
Freddy Fender ,true ,8 ,The Rains Came/sugar Coated Love,1977
Tanya Tucker ,true ,9 ,It's A Cowboy Lovin' Night,1977
Mel Tillis ,true ,10 ,Burning Memories,1977
Rex Allen Jr. ,true ,11 ,I'm Getting Good At Missing You (solitaire),1977
Freddie Hart ,true ,12 ,Thank God She's Mine,1977
Donna Fargo ,true ,13 ,That Was Yesterday,1977
Tammy Wynette ,true ,14 ,Let's Get Together (one Last Time),1977
Dolly Parton ,true ,15 ,Light Of A Clear Blue Morning,1977
Kenny Dale ,true ,16 ,Bluest Heartache Of The Year,1977
Ronnie Sessions ,true ,17 ,Me And Millie (stompin' Grapes And Gettin' Silly),1977
The Statler Brothers ,true ,18 ,I Was There,1977
Conway Twitty ,true ,19 ,Play Guitar Play,1977
Bill Anderson ,true ,20 ,Head To Toe,1977
Loretta Lynn ,true ,21 ,She's Got You,1977
Mickey Gilley ,true ,22 ,She's Pulling Me Back Again,1977
Tommy Overstreet ,true ,23 ,Don't Go City Girl On Me,1977
Pal Rakes ,true ,24 ,That's When The Lyin' Stops (and The Lovin' Starts,1977
Billie Jo Spears ,true ,25 ,If You Want Me,1977
Jim Reeves ,true ,26 ,It's Nothin' To Me,1977
Hank Williams Jr. ,true ,27 ,Mobile Boogie,1977
Joe Stampley ,true ,28 ,She's Long Legged,1977
Jim Ed Brown And Helen Cornelius ,true ,29 ,Born Believer,1977
Cal Smith ,true ,30 ,Come See About Me,1977
Ray Griff ,true ,31 ,A Passing Thing,1977
Tina Rainford ,true ,32 ,Silver Bird,1977
Johnny Rodriguez ,true ,33 ,If Practice Makes Perfect,1977
Barbara Fairchild ,true ,34 ,Let Me Love You Once Before You Go,1977
Bobby Borchers ,true ,35 ,Cheap Perfume And Candlelight,1977
Vern Gosdin ,true ,36 ,Yesterday's Gone,1977
Charley Pride ,true ,37 ,I'll Be Leavin' Alone,1977
Mary Macgregor ,true ,38 ,This Girl (has Turned Into A Woman),1977
Bobby Bare ,true ,39 ,Look Who I'm Cheating On Tonight/if You Think I'm,1977
David Houston ,true ,40 ,So Many Ways,1977
Moe Bandy ,true ,41 ,I'm Sorry For You, My Friend,1977
Randy Barlow ,true ,42 ,Kentucky Woman,1977
Marty Robbins ,true ,43 ,I Don't Know Why (i Just Do),1977
Dickey Lee ,true ,44 ,If You Gotta Make A Fool Of Somebody,1977
Dottie West ,true ,45 ,Every Word I Write,1977
John Wesley Ryles ,true ,46 ,Fool,1977
Willie Nelson ,true ,47 ,I'm A Memory,1977
Tompall Glaser ,true ,48 ,It'll Be Her,1977
Margo Smith ,true ,49 ,Love's Explosion,1977
Jimmy Buffett ,true ,50 ,Margaritaville,1977
The Statler Brothers ,true ,1 ,Do You Know You Are My Sunshine,1978
Merle Haggard ,true ,2 ,I'm Always On A Mountain When I Fall,1978
Willie Nelson ,true ,3 ,Georgia On My Mind,1978
Johnny Duncan ,true ,4 ,She Can Put Her Shoes Under My Bed(anytime),1978
Willie Nelson ,true ,5 ,If You Can Touch Her At All,1978
Joe Stampley ,true ,6 ,Red Wine And Blue Memories,1978
Larry Gatlin &amp; The Gatlin Brothers ,true ,7 ,Night Time Magic,1978
Dave Rowland And Sugar ,true ,8 ,Gotta Quit Lookin' At You Baby,1978
Rex Allen Jr. ,true ,9 ,No, No, No (I'd Rather Be Free),1978
Charlie Rich ,true ,10 ,Puttin' In Overtime At Home,1978
Emmylou Harris ,true ,11 ,Two More Bottles Of Wine,1978
Christy Lane ,true ,12 ,I'm Gonna Love You Anyway,1978
Gene Watson ,true ,13 ,Cowboys Don't Get Lucky All The Time,1978
The Oak Ridge Boys ,true ,14 ,I'll Be True To You,1978
Margo Smith ,true ,15 ,It Only Hurts For A Little While,1978
Tom T. Hall ,true ,16 ,I Wish I Loved Somebody Else,1978
Bill Anderson ,true ,17 ,I Can't Wait Any Longer,1978
Johnny Paycheck ,true ,18 ,Georgia In A Jug/me And The Irs,1978
Randy Barlow ,true ,19 ,Slow And Easy,1978
Roy Head ,true ,20 ,Now You See 'em,now You Don't,1978
Billie Jo Spears ,true ,21 ,I've Got To Go,1978
Mel Tillis ,true ,22 ,I Believe In You,1978
Bobby Borchers ,true ,23 ,I Like Ladies In Long Black Dresses,1978
Mel Street ,true ,24 ,Shady Rest,1978
Charly McClain ,true ,25 ,Let Me Be Your Baby,1978
Sterling Whipple ,true ,26 ,Dirty Work,1978
Bonnie Tyler ,true ,27 ,It's A Heartache,1978
Ronnie McDowell ,true ,28 ,Here Comes The Reason I Live,1978
Tammy Wynette ,true ,29 ,I'd Like To See Jesus (on The Midnight Special),1978
Bobby Bare ,true ,30 ,Too Many Nights Alone,1978
Eddy Arnold ,true ,31 ,Country Lovin',1978
The Bellamy Brothers ,true ,32 ,Slippin' Away,1978
Dolly Parton ,true ,33 ,It's All Wrong,but It's Alright/Two Doors Down,1978
Freddie Hart ,true ,34 ,Only You,1978
Debby Boone ,true ,35 ,Baby, I'm Yours/God Knows,1978
Linda Ronstadt ,true ,36 ,I Never Will Marry,1978
Brenda Kaye Perry ,true ,37 ,I Can't Get Up By Myself,1978
Con Hunley ,true ,38 ,Weekend Friend,1978
Johnny Cash And Waylon Jennings ,true ,39 ,There Ain't No Good Chain Gang,1978
Barbara Mandrell ,true ,40 ,Tonight,1978
Sonny James ,true ,41 ,This Is The Love,1978
Vern Gosdin ,true ,42 ,Never My Love,1978
Elvis Presley ,true ,43 ,Unchained Melody/softly As I Leave You,1978
Mickey Gilley ,true ,44 ,The Power Of Positive Drinking,1978
Lynn Anderson ,true ,45 ,Rising Above It All,1978
Kenny Dale ,true ,46 ,The Loser,1978
Jim Ed Brown And Helen Cornelius ,true ,47 ,I'll Never Be Free,1978
Sandy Posey ,true ,48 ,Born To Be With You,1978
Eddie Rabbitt ,true ,49 ,Hearts On Fire,1978
Kenny Rogers And Dottie West ,true ,50 ,Every Time Two Fools Collide,1978
Bellamy Brothers ,true ,1 ,If I Said You Have A Beautiful Body Would You Hold It Against Me,1979
Jim Ed Brown And Helen Cornelius ,true ,2 ,Lying In Love With You,1979
Don Williams ,true ,3 ,Lay Down Beside Me,1979
The Oak Ridge Boys ,true ,4 ,Sail Away,1979
Crystal Gayle ,true ,5 ,When I Dream,1979
Kenny Rogers ,true ,6 ,She Believes In Me,1979
The Statler Brothers ,true ,7 ,How To Be A Country Star,1979
Merle Haggard ,true ,8 ,Red Bandana/i Must Have Done Something Bad,1979
Mary K Miller ,true ,17 ,Next Best Feeling,1979
Jerry Lee Lewis ,true ,18 ,Rockin' My Life Away/i Wish I Was Eighteen Again,1979
Willie Nelson ,true ,19 ,September Song,1979
Tanya Tucker ,true ,20 ,I'm The Singer,you're The Song,1979
Elvis Presley ,true ,21 ,Are You Sincere/solitaire,1979
Susie Allanson ,true ,22 ,Two Steps Foward And Three Steps Back,1979
Eddy Arnold ,true ,23 ,What In Her World Did I Do,1979
Kenny Dale ,true ,24 ,Down To Earth Woman,1979
The Kendalls ,true ,25 ,Just Like Real People,1979
